date,region,bottle_size_ml,plastic_grade,cashback_bdt,market_recycle_price_bdt_per_kg,user_density_per_km2,awareness_index,distance_to_collection_km,rain_mm,campaign,bottles_sold,return_rate_percent,return_count,gross_recycle_value_bdt,cashback_cost_bdt,net_benefit_bdt
2025-01-30,Barishal,500,2,4.42,71.11,15,0.207,0.69,75.1,0,1609,46.34,746,795.72,3297.32,-2501.6
2024-10-18,Dhaka,250,3,2.31,57.56,1051,0.597,1.22,94.5,0,319,50.72,162,69.94,374.22,-304.28
2024-10-20,Rangpur,1000,3,4.23,75.34,8,0.252,1.29,140.7,0,1152,48.66,561,1267.97,2373.03,-1105.06
2023-09-02,Barishal,250,5,5.24,22.14,12,0.172,1.95,153.6,1,3777,65.7,2481,411.97,13000.44,-12588.47
2023-06-04,Mymensingh,1000,1,3.01,66.0,17,0.674,0.68,170.8,1,1244,55.18,686,1358.28,2064.86,-706.58
2024-02-19,Dhaka,500,1,5.15,60.24,958,0.639,0.6,19.7,1,2878,84.22,2424,2190.33,12483.6,-10293.27
2023-11-06,Rajshahi,500,1,1.77,22.98,12,0.347,4.04,0.0,0,3013,21.7,654,225.43,1157.58,-932.15
2024-01-02,Rajshahi,1000,1,5.11,52.64,20,0.489,1.51,108.9,0,3820,62.85,2401,3791.66,12269.11,-8477.45
2025-06-07,Chattogram,2000,5,3.7,50.9,172,0.471,1.02,151.5,1,1309,59.38,777,2372.96,2874.9,-501.94
2023-02-27,Khulna,1000,4,2.11,61.49,30,0.845,1.13,0.0,1,1370,59.44,814,1501.59,1717.54,-215.95
2023-06-11,Dhaka,500,3,3.04,24.65,550,0.491,1.45,238.1,0,2031,43.11,876,323.9,2663.04,-2339.14
2023-02-22,Barishal,500,3,5.94,68.32,19,0.223,2.57,60.7,0,937,70.92,665,681.49,3950.1,-3268.61
2023-02-08,Rajshahi,1500,4,4.92,28.36,26,0.733,1.71,22.4,0,1001,70.63,707,902.27,3478.44,-2576.17
2025-06-08,Dhaka,500,2,3.88,45.12,1930,0.722,1.82,105.9,0,3296,60.23,1985,1343.45,7701.8,-6358.35
2023-12-18,Sylhet,250,3,1.58,72.88,30,0.622,5.33,98.6,0,1005,30.86,310,169.45,489.8,-320.35
2024-05-11,Khulna,1500,3,3.09,53.63,68,0.788,1.17,157.8,0,2338,52.43,1226,2958.77,3788.34,-829.57
2025-06-18,Dhaka,1500,2,2.32,42.78,753,0.555,1.53,204.4,0,2160,34.03,735,1414.95,1705.2,-290.25
2024-12-21,Mymensingh,2000,3,1.36,22.89,6,0.238,1.78,50.8,0,1625,21.01,341,468.33,463.76,4.57
2025-02-05,Mymensingh,1500,3,3.71,60.34,9,0.554,2.3,38.2,0,1972,49.37,974,2644.7,3613.54,-968.84
2024-06-25,Rajshahi,1500,1,5.45,79.19,18,0.628,7.17,162.8,0,2636,63.74,1680,5986.76,9156.0,-3169.24
2023-09-06,Dhaka,250,2,4.38,74.71,1269,0.499,1.34,228.4,1,4476,60.95,2728,1528.57,11948.64,-10420.07
2024-11-28,Barishal,250,4,2.25,63.04,22,0.347,1.21,14.7,0,847,37.86,321,151.77,722.25,-570.48
2025-07-12,Khulna,1000,1,3.87,26.32,50,0.891,0.91,202.3,0,826,56.34,465,367.16,1799.55,-1432.39
2023-07-15,Chattogram,1000,5,5.72,34.37,547,0.697,0.39,188.7,0,1526,68.26,1042,1074.41,5960.24,-4885.83
2024-08-28,Khulna,1000,1,4.61,31.21,47,0.639,0.54,179.5,0,2095,63.82,1337,1251.83,6163.57,-4911.74
2024-01-06,Rajshahi,500,4,4.45,41.33,20,0.324,6.17,0.0,1,1992,37.93,756,468.68,3364.2,-2895.52
2024-12-08,Rajshahi,500,4,5.84,34.13,23,0.744,0.88,0.0,0,5451,80.85,4407,2256.16,25736.88,-23480.72
2024-12-20,Khulna,1000,5,4.99,34.67,52,0.222,1.1,49.8,1,836,73.75,617,641.74,3078.83,-2437.09
2025-01-25,Sylhet,250,4,1.68,57.0,34,0.538,0.97,12.7,0,514,42.07,216,92.34,362.88,-270.54
2025-03-15,Mymensingh,500,2,2.74,39.12,8,0.481,2.38,85.8,0,2344,34.29,804,471.79,2202.96,-1731.17
2024-11-16,Chattogram,1000,3,5.83,60.63,312,0.475,0.35,38.0,0,1912,80.38,1537,2795.65,8960.71,-6165.06
2024-12-10,Barishal,1000,3,3.45,76.87,36,0.537,0.62,42.4,0,1486,52.14,775,1787.23,2673.75,-886.52
2024-10-08,Rangpur,500,2,1.56,58.31,6,0.394,1.83,75.2,0,2879,40.74,1173,1025.96,1829.88,-803.92
2023-05-07,Khulna,1000,1,3.29,65.1,44,0.319,1.77,105.9,0,521,46.85,244,476.53,802.76,-326.23
2024-10-21,Khulna,1000,4,4.48,65.09,25,0.661,1.78,76.7,1,486,64.16,312,609.24,1397.76,-788.52
2024-07-19,Sylhet,500,3,5.99,39.84,40,0.144,2.85,170.4,0,403,60.57,244,145.81,1461.56,-1315.75
2023-08-22,Rajshahi,250,3,2.62,20.9,27,0.048,0.64,209.5,0,995,22.48,224,35.11,586.88,-551.77
2023-02-09,Rangpur,500,5,3.57,23.3,4,0.523,2.96,31.1,0,3847,41.98,1615,564.44,5765.55,-5201.11
2024-06-01,Khulna,500,3,5.4,36.92,26,0.504,0.66,189.3,0,579,65.44,379,209.89,2046.6,-1836.71
2025-03-04,Mymensingh,1500,3,2.78,61.37,5,0.613,0.45,117.8,1,1680,51.31,862,2380.54,2396.36,-15.82
2023-07-14,Dhaka,250,4,1.55,74.4,2060,0.305,1.14,196.9,0,2025,35.94,728,406.22,1128.4,-722.18
2024-08-26,Dhaka,1000,2,5.74,77.53,786,0.718,0.39,217.3,0,4831,79.95,3862,8982.63,22167.88,-13185.25
2023-05-12,Sylhet,250,3,3.44,21.55,28,0.632,1.2,16.8,0,894,46.99,420,67.88,1444.8,-1376.92
2025-03-18,Chattogram,500,5,3.51,79.41,191,0.808,2.48,185.7,0,870,54.25,472,562.22,1656.72,-1094.5
2023-06-06,Dhaka,1000,5,4.11,39.35,1632,0.355,0.32,208.8,0,3376,64.81,2188,2582.93,8992.68,-6409.75
2025-04-30,Chattogram,500,4,1.02,70.58,289,0.516,5.07,104.0,0,772,30.02,232,245.62,236.64,8.98
2023-06-02,Chattogram,1000,3,5.66,30.82,282,0.258,2.59,174.5,1,3814,63.21,2411,2229.21,13646.26,-11417.05
2025-03-09,Dhaka,500,4,2.81,23.77,794,0.6,0.66,20.0,0,2100,50.75,1066,380.08,2995.46,-2615.38
2024-03-12,Mymensingh,500,1,2.98,42.7,17,0.441,1.67,108.7,1,475,38.91,185,118.49,551.3,-432.81
2023-11-08,Dhaka,1000,2,1.87,71.54,1593,0.325,0.48,74.4,0,2584,44.99,1163,2496.03,2174.81,321.22
2023-09-24,Barishal,500,3,2.89,33.25,17,0.263,0.93,111.8,1,2244,43.51,976,486.78,2820.64,-2333.86
2025-07-28,Barishal,1500,3,5.02,29.24,8,0.439,2.36,215.4,1,1380,62.99,869,1143.43,4362.38,-3218.95
2025-02-07,Mymensingh,1000,2,5.0,74.59,8,0.685,1.55,91.8,1,1055,61.44,648,1450.03,3240.0,-1789.97
2023-09-16,Dhaka,500,3,5.68,76.3,2202,0.224,2.44,240.1,0,5068,61.61,3122,3573.13,17732.96,-14159.83
2023-01-04,Rangpur,250,2,3.02,20.75,19,0.512,1.88,51.2,0,294,39.16,115,17.9,347.3,-329.4
