problem,solution
24 * 40,960
57 * 38,2166
76 + 38,114
91 + 48,139
54 + 81,135
65 + 57,122
36 * 95,3420
31 * 42,1302
76 / 8,9
48 / 5,9
33 + 43,76
45 * 80,3600
51 * 73,3723
72 + 70,142
80 * 15,1200
84 - 52,32
53 / 5,10
98 / 9,10
10 / 6,1
5 * 61,305
85 * 82,6970
10 + 85,95
37 * 78,2886
6 * 54,324
24 - 63,-39
34 - 32,2
39 / 7,5
37 * 71,2627
83 * 36,2988
38 - 17,21
5 + 35,40
66 - 20,46
87 + 61,148
92 - 3,89
30 - 92,-62
78 * 34,2652
57 - 85,-28
75 + 67,142
15 * 41,615
58 * 41,2378
87 - 94,-7
33 * 70,2310
7 * 62,434
10 / 2,5
12 * 24,288
7 / 6,1
88 - 27,61
37 + 59,96
11 / 7,1
28 + 42,70
87 - 68,19
90 / 7,12
49 * 24,1176
11 - 15,-4
43 + 27,70
39 * 8,312
85 + 6,91
17 + 9,26
18 * 13,234
14 * 33,462
40 * 88,3520
97 - 99,-2
47 - 28,19
41 - 86,-45
47 + 30,77
77 + 41,118
34 * 64,2176
46 / 1,46
50 - 42,8
64 * 42,2688
15 - 49,-34
57 - 60,-3
33 * 62,2046
5 * 67,335
82 + 5,87
13 / 1,13
36 * 20,720
62 - 29,33
70 * 65,4550
44 * 19,836
97 - 91,6
72 * 82,5904
29 * 66,1914
38 / 2,19
4 * 96,384
62 / 6,10
77 + 16,93
11 / 1,11
77 - 38,39
83 * 96,7968
75 + 39,114
9 * 62,558
94 - 42,52
1 + 91,92
14 / 4,3
77 / 6,12
5 - 58,-53
69 * 2,138
46 / 2,23
30 - 47,-17
86 * 20,1720
85 / 6,14
41 + 14,55
81 - 49,32
79 / 8,9
85 / 4,21
82 + 52,134
90 / 10,9
67 / 10,6
100 + 89,189
29 + 88,117
13 / 1,13
31 + 97,128
70 + 99,169
52 / 6,8
18 / 7,2
10 + 38,48
94 - 96,-2
17 / 2,8
8 / 1,8
40 * 15,600
7 * 56,392
15 + 27,42
65 - 84,-19
63 / 9,7
32 - 95,-63
41 / 9,4
17 / 9,1
53 - 24,29
63 * 18,1134
5 - 43,-38
13 * 38,494
63 * 96,6048
18 - 29,-11
65 / 8,8
11 - 1,10
70 * 68,4760
86 - 47,39
60 / 9,6
41 + 16,57
31 * 99,3069
91 + 7,98
14 + 54,68
57 + 9,66
59 + 84,143
89 / 8,11
35 + 54,89
95 * 62,5890
14 - 80,-66
96 / 6,16
12 + 91,103
51 - 42,9
35 + 95,130
86 + 1,87
17 / 8,2
58 * 89,5162
51 - 16,35
64 + 16,80
59 + 98,157
33 / 4,8
68 / 7,9
32 * 64,2048
64 - 95,-31
88 - 68,20
67 + 66,133
18 - 12,6
25 * 68,1700
99 * 38,3762
2 - 42,-40
93 / 3,31
25 / 4,6
23 / 3,7
7 - 3,4
5 - 92,-87
58 * 73,4234
10 / 8,1
14 / 5,2
1 * 88,88
25 * 23,575
14 / 10,1
14 + 25,39
65 - 81,-16
6 - 33,-27
18 - 79,-61
22 / 5,4
64 - 61,3
49 - 36,13
5 - 44,-39
50 * 74,3700
77 / 8,9
4 + 33,37
53 + 17,70
86 / 10,8
52 * 93,4836
94 + 82,176
35 + 18,53
